Date,Value,Classification
2024-01-01,52,Neutral
2024-01-02,51,Neutral
2024-01-03,54,Neutral
2024-01-04,60,Greed
2024-01-05,59,Greed
2024-01-06,57,Greed
2024-01-07,64,Greed
2024-01-08,66,Greed
2024-01-09,64,Greed
2024-01-10,66,Greed
2024-01-11,63,Greed
2024-01-12,61,Greed
2024-01-13,62,Greed
2024-01-14,54,Neutral
2024-01-15,47,Neutral
2024-01-16,45,Fear
2024-01-17,41,Fear
2024-01-18,42,Fear
2024-01-19,39,Fear
2024-01-20,33,Fear
2024-01-21,40,Fear
2024-01-22,39,Fear
2024-01-23,40,Fear
2024-01-24,34,Fear
2024-01-25,33,Fear
2024-01-26,34,Fear
2024-01-27,30,Fear
2024-01-28,32,Fear
2024-01-29,30,Fear
2024-01-30,29,Fear
2024-01-31,27,Fear
2024-02-01,36,Fear
2024-02-02,36,Fear
2024-02-03,32,Fear
2024-02-04,36,Fear
2024-02-05,31,Fear
2024-02-06,33,Fear
2024-02-07,26,Fear
2024-02-08,21,Extreme Fear
2024-02-09,23,Extreme Fear
2024-02-10,26,Fear
2024-02-11,28,Fear
2024-02-12,28,Fear
2024-02-13,27,Fear
2024-02-14,22,Extreme Fear
2024-02-15,20,Extreme Fear
2024-02-16,19,Extreme Fear
2024-02-17,24,Extreme Fear
2024-02-18,27,Fear
2024-02-19,20,Extreme Fear
2024-02-20,22,Extreme Fear
2024-02-21,22,Extreme Fear
2024-02-22,20,Extreme Fear
2024-02-23,23,Extreme Fear
2024-02-24,28,Fear
2024-02-25,32,Fear
2024-02-26,30,Fear
2024-02-27,29,Fear
2024-02-28,31,Fear
2024-02-29,35,Fear
2024-03-01,34,Fear
2024-03-02,34,Fear
2024-03-03,30,Fear
2024-03-04,26,Fear
2024-03-05,30,Fear
2024-03-06,36,Fear
2024-03-07,36,Fear
2024-03-08,40,Fear
2024-03-09,42,Fear
2024-03-10,40,Fear
2024-03-11,41,Fear
2024-03-12,48,Neutral
2024-03-13,48,Neutral
2024-03-14,54,Neutral
2024-03-15,43,Fear
2024-03-16,47,Neutral
2024-03-17,47,Neutral
2024-03-18,46,Neutral
2024-03-19,47,Neutral
2024-03-20,39,Fear
2024-03-21,38,Fear
2024-03-22,40,Fear
2024-03-23,46,Neutral
2024-03-24,44,Fear
2024-03-25,41,Fear
2024-03-26,40,Fear
2024-03-27,43,Fear
2024-03-28,45,Neutral
2024-03-29,43,Fear
2024-03-30,45,Neutral
2024-03-31,46,Neutral
2024-04-01,50,Neutral
2024-04-02,47,Neutral
2024-04-03,46,Neutral
2024-04-04,44,Fear
2024-04-05,39,Fear
2024-04-06,40,Fear
2024-04-07,42,Fear
