account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x0000000000000000000000000000000000000006,ARB,1.2077,2.0791,BUY,2024-01-01 12:12:00,-1.5582,CLOSE,-109.2,5
0x0000000000000000000000000000000000000004,BTC,44998.5276,0.9888,BUY,2024-01-01 14:22:00,2.6842,CLOSE,32.73,6
0x000000000000000000000000000000000000000f,DOGE,0.0803,1.7498,BUY,2024-01-01 00:23:00,3.4372,CLOSE,50.42,4
0x000000000000000000000000000000000000000f,ARB,1.1591,1.5424,SELL,2024-01-01 07:03:00,-1.8798,CLOSE,45.24,6
0x0000000000000000000000000000000000000019,SOL,98.0285,3.0188,SELL,2024-01-01 21:20:00,-1.5857,CLOSE,-128.06,2
0x0000000000000000000000000000000000000006,BTC,44501.7156,0.3916,BUY,2024-01-01 14:55:00,2.4093,CLOSE,16.12,3
0x000000000000000000000000000000000000001e,SOL,100.363,0.6503,BUY,2024-01-01 22:45:00,0.8004,OPEN,0.0,7
0x0000000000000000000000000000000000000012,ETH,2362.3434,0.6234,SELL,2024-01-01 11:24:00,-2.1225,CLOSE,-45.11,2
0x0000000000000000000000000000000000000011,DOGE,0.079,8.2624,SELL,2024-01-01 19:25:00,-3.0462,CLOSE,-864.35,6
0x0000000000000000000000000000000000000022,SOL,97.7283,2.9919,SELL,2024-01-01 15:03:00,-1.2342,CLOSE,-46.49,1
0x000000000000000000000000000000000000001e,SOL,97.4823,1.7476,SELL,2024-01-01 10:03:00,-1.6619,OPEN,0.0,4
0x000000000000000000000000000000000000000f,BTC,45475.4849,2.1149,SELL,2024-01-01 00:19:00,-1.5265,OPEN,0.0,5
0x000000000000000000000000000000000000000c,BTC,43375.6061,1.6745,SELL,2024-01-01 01:12:00,3.994,CLOSE,-117.31,5
0x0000000000000000000000000000000000000028,ETH,2495.2316,6.2189,SELL,2024-01-01 16:04:00,1.5433,OPEN,0.0,4
0x000000000000000000000000000000000000000e,DOGE,0.0792,0.3715,SELL,2024-01-01 04:13:00,0.9946,LIQUIDATION,-35.79,3
0x000000000000000000000000000000000000000e,ETH,2387.0302,5.1404,SELL,2024-01-02 16:32:00,0.0368,OPEN,0.0,5
0x0000000000000000000000000000000000000002,DOGE,0.0827,0.1057,SELL,2024-01-02 14:28:00,2.865,OPEN,0.0,4
0x0000000000000000000000000000000000000021,ARB,1.1883,2.6767,SELL,2024-01-02 09:32:00,0.8041,CLOSE,323.3,4
0x0000000000000000000000000000000000000026,DOGE,0.0836,0.5377,BUY,2024-01-02 03:35:00,0.0545,OPEN,0.0,5
0x000000000000000000000000000000000000001a,SOL,99.7298,0.1951,BUY,2024-01-02 17:24:00,2.9921,OPEN,0.0,4
0x0000000000000000000000000000000000000021,ARB,1.2428,3.3479,BUY,2024-01-02 07:40:00,-1.0224,LIQUIDATION,-594.1,5
0x0000000000000000000000000000000000000016,SOL,98.7452,0.9099,BUY,2024-01-02 14:08:00,1.0755,OPEN,0.0,4
0x0000000000000000000000000000000000000009,ETH,2334.7818,0.5498,SELL,2024-01-02 19:05:00,0.9434,CLOSE,10.82,7
0x0000000000000000000000000000000000000018,BTC,43623.2121,0.5553,BUY,2024-01-02 07:48:00,0.2197,CLOSE,-32.01,5
0x0000000000000000000000000000000000000007,BTC,46016.6845,0.6446,SELL,2024-01-02 12:28:00,1.3486,OPEN,0.0,3
0x000000000000000000000000000000000000001e,SOL,100.4696,14.6088,SELL,2024-01-02 02:31:00,-1.1354,OPEN,0.0,5
0x000000000000000000000000000000000000001c,ETH,2389.3669,3.9197,BUY,2024-01-03 02:50:00,0.1975,CLOSE,-354.04,1
0x0000000000000000000000000000000000000021,ARB,1.1969,7.3873,BUY,2024-01-03 00:22:00,0.4619,CLOSE,248.41,5
0x0000000000000000000000000000000000000015,SOL,98.568,0.2223,SELL,2024-01-03 22:54:00,3.5294,OPEN,0.0,5
0x000000000000000000000000000000000000000c,ARB,1.1849,7.4037,BUY,2024-01-03 22:31:00,0.5689,OPEN,0.0,5
0x0000000000000000000000000000000000000011,ETH,2401.8505,4.6818,BUY,2024-01-03 05:17:00,2.2061,CLOSE,395.94,4
0x0000000000000000000000000000000000000015,ETH,2455.2684,1.3793,SELL,2024-01-03 07:33:00,-1.7976,CLOSE,-74.95,4
0x000000000000000000000000000000000000000c,DOGE,0.0785,6.8443,BUY,2024-01-03 20:10:00,0.2944,CLOSE,140.79,6
0x0000000000000000000000000000000000000028,SOL,99.5549,4.0456,SELL,2024-01-03 18:34:00,0.5955,LIQUIDATION,-688.07,5
0x0000000000000000000000000000000000000011,SOL,96.5609,0.9267,BUY,2024-01-03 07:41:00,4.5969,OPEN,0.0,4
0x0000000000000000000000000000000000000019,SOL,101.9714,0.8079,BUY,2024-01-03 04:53:00,2.5691,OPEN,0.0,5
0x0000000000000000000000000000000000000010,BTC,45620.1326,2.7609,SELL,2024-01-03 15:07:00,-2.1621,CLOSE,45.87,4
0x0000000000000000000000000000000000000017,DOGE,0.0817,1.5216,SELL,2024-01-03 22:22:00,0.1593,CLOSE,-80.78,6
0x0000000000000000000000000000000000000027,BTC,45911.9844,5.6872,SELL,2024-01-03 02:58:00,0.1646,CLOSE,-675.89,4
0x0000000000000000000000000000000000000027,ARB,1.2256,0.8942,BUY,2024-01-03 17:03:00,-0.6007,CLOSE,-177.74,8
0x0000000000000000000000000000000000000012,DOGE,0.0787,1.2287,BUY,2024-01-03 05:38:00,-1.7663,OPEN,0.0,4
0x0000000000000000000000000000000000000018,SOL,102.3342,11.5344,SELL,2024-01-03 02:55:00,-1.111,CLOSE,-575.0,3
0x0000000000000000000000000000000000000017,BTC,46278.4538,0.8312,BUY,2024-01-04 08:03:00,-3.0315,LIQUIDATION,-60.04,4
0x000000000000000000000000000000000000000e,DOGE,0.0776,0.6982,SELL,2024-01-04 10:58:00,-0.4014,CLOSE,32.49,2
0x0000000000000000000000000000000000000022,ARB,1.1943,1.8637,BUY,2024-01-04 18:57:00,0.0865,OPEN,0.0,6
0x0000000000000000000000000000000000000003,ETH,2449.4627,3.3225,SELL,2024-01-04 06:30:00,-0.7406,CLOSE,-75.56,11
0x0000000000000000000000000000000000000012,ARB,1.18,1.2575,SELL,2024-01-04 05:18:00,2.9903,CLOSE,7.89,6
0x000000000000000000000000000000000000001e,ETH,2410.2543,7.0342,BUY,2024-01-04 21:16:00,2.1473,LIQUIDATION,-1120.69,5
0x000000000000000000000000000000000000000a,BTC,44076.1362,0.8431,SELL,2024-01-04 22:25:00,3.131,CLOSE,30.5,2
0x0000000000000000000000000000000000000022,ETH,2396.844,7.8334,BUY,2024-01-04 05:14:00,-3.6935,LIQUIDATION,-506.15,5
0x0000000000000000000000000000000000000022,DOGE,0.0791,0.3672,BUY,2024-01-04 11:52:00,2.8875,OPEN,0.0,10
0x0000000000000000000000000000000000000018,ARB,1.1978,9.2826,SELL,2024-01-04 05:47:00,3.6019,CLOSE,-446.6,2
0x0000000000000000000000000000000000000016,DOGE,0.0805,1.5698,BUY,2024-01-04 05:40:00,1.4842,CLOSE,162.02,4
0x0000000000000000000000000000000000000008,SOL,99.3533,1.7456,SELL,2024-01-04 00:12:00,0.1832,CLOSE,153.35,6
0x000000000000000000000000000000000000001a,ETH,2447.4664,3.4833,SELL,2024-01-04 05:08:00,1.8493,CLOSE,410.85,3
0x0000000000000000000000000000000000000006,BTC,45334.7639,1.3414,BUY,2024-01-04 11:22:00,-0.9206,CLOSE,188.94,10
0x000000000000000000000000000000000000000c,DOGE,0.0783,0.8736,BUY,2024-01-04 21:14:00,-2.0456,CLOSE,48.12,9
0x0000000000000000000000000000000000000021,ARB,1.2224,4.7011,BUY,2024-01-04 03:57:00,2.0942,CLOSE,112.62,5
0x0000000000000000000000000000000000000002,ETH,2431.3115,0.2487,SELL,2024-01-05 22:41:00,0.9881,OPEN,0.0,6
0x000000000000000000000000000000000000000e,ETH,2412.5123,1.4495,BUY,2024-01-05 06:24:00,-1.4719,OPEN,0.0,3
0x0000000000000000000000000000000000000014,ETH,2417.9654,1.4856,BUY,2024-01-05 10:09:00,-0.0938,OPEN,0.0,5
